class,id
cat,4165
cat,4384
cat,4046
cat,4157
cat,4054
cat,4073
cat,4316
cat,4210
cat,4075
cat,4334
cat,4404
cat,4416
cat,4093
cat,4216
cat,4480
cat,4060
cat,4369
cat,4164
cat,4211
cat,4252
cat,4444
cat,4321
cat,4290
cat,4390
cat,4008
cat,4463
cat,4250
cat,4229
cat,4246
cat,4212
cat,4130
cat,4163
cat,4224
cat,4042
cat,4279
cat,4022
cat,4435
cat,4069
cat,4228
cat,4152
cat,4370
cat,4218
cat,4155
cat,4178
cat,4398
cat,4140
cat,4142
cat,4327
cat,4176
cat,4171
cat,4089
cat,4097
cat,4440
cat,4304
cat,4051
cat,4200
cat,4298
cat,4132
cat,4121
cat,4359
cat,4181
cat,4371
cat,4038
cat,4161
cat,4005
cat,4094
cat,4305
cat,4189
cat,4375
cat,4454
cat,4095
cat,4469
cat,4293
cat,4341
cat,4408
cat,4409
cat,4188
cat,4335
cat,4214
cat,4128
cat,4012
cat,4007
cat,4443
cat,4247
cat,4397
cat,4426
cat,4346
cat,4090
cat,4427
cat,4027
cat,4078
cat,4185
cat,4263
cat,4208
cat,4183
cat,4096
cat,4101
cat,4420
cat,4395
cat,4156
cat,4231
cat,4363
cat,4238
cat,4354
cat,4086
cat,4324
cat,4172
cat,4394
cat,4154
cat,4314
cat,4039
cat,4393
cat,4070
cat,4107
cat,4349
cat,4490
cat,4429
cat,4159
cat,4032
cat,4245
cat,4009
cat,4268
cat,4486
cat,4234
cat,4262
cat,4402
cat,4292
cat,4199
cat,4133
cat,4325
cat,4323
cat,4003
cat,4019
cat,4489
cat,4264
cat,4077
cat,4254
cat,4315
cat,4352
cat,4472
cat,4144
cat,4450
cat,4067
cat,4180
cat,4134
cat,4145
cat,4407
cat,4281
cat,4270
cat,4467
cat,4209
cat,4146
cat,4433
cat,4278
cat,4342
cat,4466
cat,4318
cat,4018
cat,4449
cat,4021
cat,4131
cat,4239
cat,4297
cat,4287
cat,4337
cat,4301
cat,4150
cat,4204
cat,4388
cat,4399
cat,4191
cat,4202
cat,4419
cat,4015
cat,4056
cat,4076
cat,4285
cat,4040
cat,4392
cat,4461
cat,4258
cat,4179
cat,4213
cat,4473
cat,4421
cat,4068
cat,4100
cat,4477
cat,4098
cat,4197
cat,4340
cat,4289
cat,4319
cat,4458
cat,4125
cat,4243
cat,4043
cat,4061
cat,4193
cat,4423
cat,4267
cat,4255
cat,4385
cat,4498
cat,4227
cat,4496
cat,4114
cat,4020
cat,4219
cat,4119
cat,4365
cat,4386
cat,4438
cat,4294
cat,4494
cat,4379
cat,4242
cat,4447
cat,4436
cat,4028
cat,4221
cat,4470
cat,4087
cat,4362
cat,4104
cat,4482
cat,4026
cat,4308
cat,4168
cat,4451
cat,4476
cat,4411
cat,4222
cat,4417
cat,4106
cat,4372
cat,4091
cat,4453
cat,4169
cat,4241
cat,4403
cat,4049
cat,4105
cat,4207
cat,4248
cat,4201
cat,4063
cat,4478
cat,4148
cat,4147
cat,4226
cat,4422
cat,4485
cat,4492
cat,4452
cat,4110
cat,4295
cat,4441
cat,4122
cat,4266
cat,4170
cat,4382
cat,4035
cat,4269
cat,4031
cat,4401
cat,4462
cat,4355
cat,4383
cat,4011
cat,4174
cat,4343
cat,4116
cat,4364
cat,4062
cat,4232
cat,4265
cat,4225
cat,4313
cat,4357
cat,4160
cat,4103
cat,4311
cat,4373
cat,4345
cat,4338
cat,4366
cat,4085
cat,4282
cat,4244
cat,4066
cat,4065
cat,4273
cat,4424
cat,4249
cat,4044
cat,4418
cat,4376
cat,4124
cat,4030
cat,4123
cat,4158
cat,4356
cat,4331
cat,4010
cat,4251
cat,4166
cat,4307
cat,4001
cat,4272
cat,4277
cat,4083
cat,4192
cat,4348
cat,4474
cat,4400
cat,4320
cat,4153
cat,4055
cat,4260
cat,4092
cat,4257
cat,4431
cat,4002
cat,4460
cat,4081
cat,4223
cat,4432
cat,4499
cat,4456
cat,4329
cat,4405
cat,4437
cat,4059
cat,4006
cat,4284
cat,4129
cat,4271
cat,4240
cat,4406
cat,4196
cat,4198
cat,4033
cat,4306
cat,4488
cat,4459
cat,4430
cat,4079
cat,4057
cat,4025
dog,4217
dog,4092
dog,4439
dog,4232
dog,4203
dog,4129
dog,4288
dog,4337
dog,4175
dog,4372
dog,4019
dog,4457
dog,4333
dog,4012
dog,4498
dog,4405
dog,4428
dog,4246
dog,4430
dog,4379
dog,4484
dog,4434
dog,4279
dog,4045
dog,4242
dog,4054
dog,4050
dog,4401
dog,4339
dog,4382
dog,4065
dog,4447
dog,4211
dog,4269
dog,4058
dog,4445
dog,4475
dog,4081
dog,4053
dog,4489
dog,4029
dog,4302
dog,4034
dog,4247
dog,4425
dog,4322
dog,4472
dog,4214
dog,4291
dog,4255
dog,4225
dog,4178
dog,4283
dog,4387
dog,4460
dog,4151
dog,4265
dog,4193
dog,4351
dog,4299
dog,4075
dog,4206
dog,4317
dog,4052
dog,4009
dog,4487
dog,4073
dog,4186
dog,4171
dog,4107
dog,4412
dog,4307
dog,4257
dog,4061
dog,4189
dog,4074
dog,4361
dog,4285
dog,4132
dog,4086
dog,4470
dog,4482
dog,4228
dog,4006
dog,4497
dog,4017
dog,4365
dog,4002
dog,4039
dog,4169
dog,4469
dog,4117
dog,4392
dog,4440
dog,4397
dog,4037
dog,4077
dog,4068
dog,4275
dog,4135
dog,4375
dog,4261
dog,4409
dog,4196
dog,4190
dog,4114
dog,4136
dog,4367
dog,4162
dog,4393
dog,4139
dog,4350
dog,4041
dog,4025
dog,4188
dog,4355
dog,4235
dog,4252
dog,4222
dog,4035
dog,4059
dog,4441
dog,4185
dog,4290
dog,4150
dog,4096
dog,4438
dog,4386
dog,4298
dog,4212
dog,4326
dog,4271
dog,4104
dog,4057
dog,4473
dog,4396
dog,4005
dog,4419
dog,4402
dog,4251
dog,4144
dog,4191
dog,4105
dog,4253
dog,4022
dog,4049
dog,4348
dog,4415
dog,4270
dog,4330
dog,4273
dog,4194
dog,4067
dog,4373
dog,4376
dog,4381
dog,4047
dog,4084
dog,4258
dog,4008
dog,4414
dog,4485
dog,4157
dog,4411
dog,4328
dog,4199
dog,4400
dog,4072
dog,4483
dog,4304
dog,4083
dog,4364
dog,4354
dog,4183
dog,4309
dog,4124
dog,4138
dog,4158
dog,4282
dog,4167
dog,4464
dog,4046
dog,4112
dog,4383
dog,4182
dog,4118
dog,4358
dog,4093
dog,4111
dog,4230
dog,4395
dog,4431
dog,4308
dog,4088
dog,4166
dog,4268
dog,4018
dog,4371
dog,4362
dog,4416
dog,4137
dog,4089
dog,4256
dog,4201
dog,4248
dog,4204
dog,4031
dog,4452
dog,4458
dog,4176
dog,4329
dog,4488
dog,4179
dog,4410
dog,4366
dog,4463
dog,4417
dog,4496
dog,4450
dog,4500
dog,4051
dog,4236
dog,4399
dog,4097
dog,4174
dog,4148
dog,4349
dog,4007
dog,4149
dog,4028
dog,4080
dog,4471
dog,4454
dog,4294
dog,4486
dog,4184
dog,4192
dog,4319
dog,4433
dog,4449
dog,4095
dog,4421
dog,4289
dog,4263
dog,4120
dog,4499
dog,4418
dog,4145
dog,4030
dog,4334
dog,4122
dog,4324
dog,4062
dog,4477
dog,4160
dog,4312
dog,4103
dog,4443
dog,4016
dog,4021
dog,4467
dog,4115
dog,4180
dog,4027
dog,4010
dog,4241
dog,4331
dog,4130
dog,4315
dog,4143
dog,4332
dog,4293
dog,4303
dog,4233
dog,4109
dog,4453
dog,4310
dog,4134
dog,4459
dog,4094
dog,4237
dog,4070
dog,4220
dog,4043
dog,4360
dog,4202
dog,4014
dog,4274
dog,4448
dog,4240
dog,4085
dog,4437
dog,4173
dog,4359
dog,4015
dog,4343
dog,4481
dog,4335
dog,4301
dog,4250
dog,4495
dog,4280
dog,4476
dog,4215
dog,4356
dog,4153
dog,4181
dog,4004
dog,4245
dog,4444
dog,4388
dog,4011
dog,4300
dog,4200
dog,4446
dog,4106
dog,4032
dog,4389
dog,4424
dog,4278
dog,4465
dog,4209
dog,4390
dog,4033
dog,4420
dog,4079
dog,4442
dog,4119
dog,4078
dog,4071
dog,4042
dog,4277
dog,4164
dog,4406
dog,4140
dog,4429
dog,4432
dog,4040
dog,4226
dog,4141
dog,4123
dog,4321
dog,4249
dog,4479
dog,4142
dog,4327
dog,4127
dog,4133
dog,4231
dog,4394
